position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch sf,4,parallel,1,"(2,1) -> (1,1)",500,1252,0.00174364,0.886147,0.886147
LAT-ch sf,4,parallel,2,"(2,1) -> (1,1)",500,1252,0.00193284,0.799403,0.399702
LAT-ch sf,4,parallel,4,"(2,1) -> (1,1)",500,1162,0.00162509,0.950792,0.237698
LAT-ch sf,4,parallel,8,"(2,1) -> (1,1)",500,1162,0.00181475,0.851425,0.106428
LAT-ch sf,4,parallel,16,"(2,1) -> (1,1)",500,1162,0.00178866,0.863842,0.0539901
LAT-ch sf,5,sequential,1,"(2,1) -> (1,1)",500,3918,0.00491001,1,1
LAT-ch sf,5,parallel,1,"(2,1) -> (1,1)",500,4091,0.00531155,0.924403,0.924403
LAT-ch sf,5,parallel,2,"(2,1) -> (1,1)",500,4091,0.00547889,0.896168,0.448084
LAT-ch sf,5,parallel,4,"(2,1) -> (1,2)",500,2810,0.00443593,1.10687,0.276718
LAT-ch sf,5,parallel,8,"(2,1) -> (1,2)",500,2810,0.00449846,1.09149,0.136436
LAT-ch sf,5,parallel,16,"(2,1) -> (1,1)",500,4091,0.00554635,0.885268,0.0553292
LAT-ch sf,6,sequential,1,"(2,1) -> (1,1)",500,26033,0.0262534,1,1
LAT-ch sf,6,parallel,1,"(2,1) -> (1,1)",500,26844,0.0277409,0.946376,0.946376
LAT-ch sf,6,parallel,2,"(2,1) -> (1,1)",500,26844,0.0280766,0.935062,0.467531
LAT-ch sf,6,parallel,4,"(2,1) -> (1,2)",500,20861,0.0210682,1.24611,0.311529
